ID, Title, Dish-Type, Proteins, Carbs, Fats, Information-String, Sweetness, Saltiness, Sourness, Bitterness, Savoriness, Fattiness, Spiciness 
652417, Moroccan chickpea and lentil stew, lunch | soup | main course | main dish | dinner, 20g, 82g, 7g, broccoli canned chickpeas carrots celery stalks cooked lentils couscous fresh cilantro ground cinnamon ground cumin ground turmeric lemon juice olive oil paprika salt and pepper tomato paste water broccoli canned chickpeas carrots celery stalks cooked lentils couscous fresh cilantro ground cinnamon ground cumin ground turmeric lemon juice olive oil paprika salt and pepper tomato paste water broccoli canned chickpeas carrots celery stalks cooked lentils couscous fresh cilantro ground cinnamon ground cumin ground turmeric lemon juice olive oil paprika salt and pepper tomato paste water Heat oil in large saucepan over medium-high heat  add onion and cook for about 3 minutes. Add celery  carrot and broccoli to pan and saut for about 5 minutes. Add in all seasonings and cook additional 1 minute. Add water  tomato paste  chickpeas and lentils  bring to a boil. Cover  reduce heat to low and simmer for 20 minutes.Meanwhile  cook couscous in separate pan according to package directions. Add cilantro and lemon juice to stew and serve over warm couscous. , 46.44, 100.0, 39.15, 70.11, 54.58, 54.04, 0.0
641005, Cucumber and Cannellini Bean Side Salad, side dish | antipasti | salad | starter | snack | appetizer | antipasto | hor d'oeuvre, 5g, 16g, 5g, canned artichokes black pepper cannellini beans cucumbers fresh basil capers - plus caper juice lemon (juice) olive oil red onion red pepper flakes salt sugar dried sun tomatoes vinegar canned artichokes black pepper cannellini beans cucumbers fresh basil capers - plus caper juice lemon (juice) olive oil red onion red pepper flakes salt sugar dried sun tomatoes vinegar canned artichokes black pepper cannellini beans cucumbers fresh basil capers - plus caper juice lemon (juice) olive oil red onion red pepper flakes salt sugar dried sun tomatoes vinegar Combine all of the ingredients for the salad in a bowl. Combine all of the ingredients for the dressing in a small bowl and mix. Pour the dressing over the salad and give a toss.Refrigerate to chill before serving. , 90.42, 13.09, 63.03, 43.95, 4.66, 100.0, 0.0
637766, Cherry Lime Mojito, beverage | drink, 0.68g, 14g, 0.15g, cherries mint leaves lime demerara sugar white rum carbonated water cherries mint leaves lime demerara sugar white rum carbonated water cherries mint leaves lime demerara sugar white rum carbonated water Place cherries  mint  sugar and lime in a tall glass. Muddle ingredients together at the bottom of the glass. Add a few ice cubes and pour in the rum. Fill the glass the rest of the way with carbonated water and serve. , 76.15, 62.75, 51.7, 100.0, 15.66, 9.94, 0.0
637187, Carrot Cake Snack Bites, None given, 1.46g, 7g, 5g, shredded carrots cinnamon shredded coconut ground ginger medjool dates sunflower seeds walnuts shredded carrots cinnamon shredded coconut ground ginger medjool dates sunflower seeds walnuts shredded carrots cinnamon shredded coconut ground ginger medjool dates sunflower seeds walnuts In a food processor  blend all the snack bite ingredients together.Scoop out tablespoons full of the batter and roll it into a ball. Roll the balls in sesame seeds  coconut  or chopped almonds for additional crunch  if desired.Store refrigerated. , 100.0, 19.65, 16.16, 43.54, 21.92, 44.97, 0.0
644387, Garlicky Kale, side dish, 3g, 10g, 15g, balsamic vinegar garlic curly kale olive oil balsamic vinegar garlic curly kale olive oil balsamic vinegar garlic curly kale olive oil Heat the olive oil in a large pot over medium heat. Add the kale and cover.Stir occasionally until the volume of the kale is reduced by half. Uncover. Add garlic and basalmic.Allow to cook for about another 30 seconds or so  mixing well so that the garlic and vinegar are well distributed. Serve hot. , 27.53, 0.27, 0.0, 0.0, 0.0, 100.0, 0.0
660146, Simple Squash Salad, side dish | antipasti | salad | starter | snack | appetizer | antipasto | hor d'oeuvre, 1.34g, 8g, 0.34g, diced bell pepper black pepper fresh parsley garlic garlic powder capers plus 2 tablespoons caper juice lemon onion dried oregano red pepper flakes salt sugar vinegar diced zucchini diced bell pepper black pepper fresh parsley garlic garlic powder capers plus 2 tablespoons caper juice lemon onion dried oregano red pepper flakes salt sugar vinegar diced zucchini diced bell pepper black pepper fresh parsley garlic garlic powder capers plus 2 tablespoons caper juice lemon onion dried oregano red pepper flakes salt sugar vinegar diced zucchini Combine all of the ingredients the salad ingredients in a bowl. Combine all of the dressing ingredients in a cup and stir  adjust the ingredients to taste. Pour this over the salad and toss. Let the salad sit in the refrigerator for a few hours before serving. , 39.02, 100.0, 32.51, 38.6, 44.04, 34.81, 0.595
658509, Roasted Broccoli with Lemon and Garlic, side dish, 3g, 8g, 2.43g, broccoli florets extra virgin olive oil garlic black ground pepper lemon juice salt broccoli florets extra virgin olive oil garlic black ground pepper lemon juice salt broccoli florets extra virgin olive oil garlic black ground pepper lemon juice salt Preheat the oven to 400 degrees FIn a large bowl  add broccoli florets  olive oil  salt  pepper and garlic. Spread the broccoli out in an even layer on a baking sheet. Bake in the preheated oven until broccoli is tender enough to pierce the stems with a fork  15 to 20 minutes. Remove and place in a bowl  toss with lemon juice. , 26.59, 95.79, 52.67, 100.0, 43.62, 35.0, 0.0
663313, The Pearhattan Cocktail, beverage | drink, 2.54g, 101g, 1.11g, angostura bitters 3 cups fresh ripe usa pears (juice) crème de cassis ice lemon (juice) fresh-squeezed lemon juice freshly usa pear rye whiskey salt angostura bitters 3 cups fresh ripe usa pears (juice) crème de cassis ice lemon (juice) fresh-squeezed lemon juice freshly usa pear rye whiskey salt angostura bitters 3 cups fresh ripe usa pears (juice) crème de cassis ice lemon (juice) fresh-squeezed lemon juice freshly usa pear rye whiskey salt Pour ingredients into shaker and fill with ice. Shake well and serve unstrained  on the rocks. , 100.0, 6.2, 72.33, 51.4, 11.46, 9.23, 0.0
716431, Crockpot Applesauce, antipasti | starter | snack | appetizer | antipasto | hor d'oeuvre, 2.14g, 107g, 1.34g, apples cinnamon lemon (juice) orange juice vanilla apples cinnamon lemon (juice) orange juice vanilla apples cinnamon lemon (juice) orange juice vanilla , 100.0, 1.2, 61.18, 19.73, 5.19, 6.54, 0.0
665029, Watermelon Popsicles with Mint| Basil & Lime, side dish, 0.56g, 6g, 0.13g, basil leaves lime (juice) mint leaves salt watermelon flesh basil leaves lime (juice) mint leaves salt watermelon flesh basil leaves lime (juice) mint leaves salt watermelon flesh Combine basil  lime juice  mint leaves  salt  and cubed watermelon in a blender.  Blend at highest speed until liquefied. Pour into popsicle molds or ice cube tray and freeze for a minimum of 4 hours. Serve. , 100.0, 46.48, 0.0, 0.0, 0.0, 2.75, 0.0
664501, Vegan Taco bowls with Cilantro Lime Cauliflower Rice, lunch | main course | main dish | dinner, 13g, 22g, 48g, avocado oil cauliflower red new mexico chili powder fresh cilantro garlic powder hass avocado fresh jalapeno fresh lime juice onion salt tomato walnuts avocado oil cauliflower red new mexico chili powder fresh cilantro garlic powder hass avocado fresh jalapeno fresh lime juice onion salt tomato walnuts avocado oil cauliflower red new mexico chili powder fresh cilantro garlic powder hass avocado fresh jalapeno fresh lime juice onion salt tomato walnuts Set the nuts to soak in a bowl of water 2-8 hours before preparing the meat.Preheat the oven to 375 F and line a baking sheet with aluminum foil.Finely chop the cauliflower into rice-sized pieces  or pulse in the food processor until the desired consistency. Toss with the oil and spread onto the baking sheet in an even layer. Bake for 18 minutes  stirring halfway through.While the cauliflower rice is cooking  prepare the guacamole and taco meat. Cut the avocado into large chunks and place into a small bowl. Add the lime juice and mash the avocado to a chunky puree or your preferred consistency. Stir in the cilantro  jalapeno  onion and spices. Set aside. Remove the nuts from the water and place into a small food processor. Discard the water. Pulse the nuts until theyve reached a ground meat consistency  I find about 5-7 pulses works. Transfer to a bowl and stir in the salt  cumin  garlic powder  and red chili powder. Set aside.When the cauliflower is done  transfer to a mixing bowl while still warm and stir in the lime  cilantro  and salt.To assemble the bowls  layer 1 cup of the cauliflower rice in a bowl with taco nut meat  a dollop of guacamole  fresh tomatoes  and a sprinkling of fresh cilantro. Serve immediately with an additional slice of lime if desired. , 72.9, 48.55, 53.29, 100.0, 43.07, 95.94, 7.875
716290, Mango Salsa, antipasti | condiment | starter | snack | appetizer | dip | antipasto | hor d'oeuvre | spread, 5g, 74g, 1.95g, cherry tomatoes green bell pepper lime juice mangoes mint leaves red bell pepper red onions sugar cherry tomatoes green bell pepper lime juice mangoes mint leaves red bell pepper red onions sugar cherry tomatoes green bell pepper lime juice mangoes mint leaves red bell pepper red onions sugar Peel and chop your mango into small cubes Cube your bell peppers and onions as well and mix in with the mangoes. Add the cherry tomatoes and mix in.sprinkle your sugar and lime juice over it.Chop your scent/mint leaves and mix in and refrigerate. Serve cool as a side dish or if you want something refreshing on a hot day. , 100.0, 3.82, 52.2, 32.06, 2.42, 34.37, 0.595
631880, 5-Minute Blueberry Chia Jam, condiment | dip | spread, 1.49g, 16g, 2.07g, fresh blueberries chia seeds honey/maple syrup water fresh blueberries chia seeds honey/maple syrup water fresh blueberries chia seeds honey/maple syrup water Add all of the ingredients to your blender with enough water to allow it to blend  and blend. Pour the jam into a glass jar or similar. Store in the fridge. It should last for around 4-5 days. , 100.0, 12.75, 73.03, 50.97, 9.18, 14.71, 0.0
663858, Tropical Ice Pops, dessert, 0.34g, 17g, 3g, unsweetened coconut beverage light coconut milk fresh mango maple syrup fresh pineapple popsicle moulds unsweetened coconut beverage light coconut milk fresh mango maple syrup fresh pineapple popsicle moulds unsweetened coconut beverage light coconut milk fresh mango maple syrup fresh pineapple popsicle moulds Pure the mango  pineapple  3/4 cup coconut beverage and 1 1/2 tablespoon maple syrup in a blender. Pour equal amounts of the mixture into each mould.In a small bowl  mix the coconut milk  1/4 cup of coconut beverage  and 2-3 TBS of maple syrup (adjust the sweetness to your taste). Pour equal amounts of the coconut mixture on top of the fruit pure.Insert a popsicle stick into each of the moulds  leaving about a quarter of the stick above the mould.Freeze the popsicles for about 2 to 3 hours.To remove the ice pops from the moulds  run them under warm to hot water for about 5 to 10 seconds before pulling them out. , 100.0, 0.74, 36.23, 14.62, 7.03, 24.4, 0.0
661653, Stir Fried Cabbage and Tomatoes, antipasti | starter | snack | appetizer | antipasto | hor d'oeuvre, 4g, 22g, 0.5g, beijing cabbage diced tomatoes gloves garlic salt sugar ketchup water beijing cabbage diced tomatoes gloves garlic salt sugar ketchup water beijing cabbage diced tomatoes gloves garlic salt sugar ketchup water Coarsely shred the cabbage and rinse well. Drain and set aside. Rinse tomatoes and dice  set aside. Heat wok with some oil to saute the garlic. Put in the cabbage and cook until soft  add a little water if necessary. Add diced tomatoes and seasoning with 2-3 tablespoons of water into it. Stir fry to combine and serve immediately. , 29.16, 100.0, 62.12, 48.5, 55.65, 29.19, 0.0
775585, Crockpot "Refried" Beans, antipasti | starter | snack | appetizer | antipasto | hor d'oeuvre, 5g, 17g, 0.45g, black pepper cumin canned garlic onion pinto beans up salt water black pepper cumin canned garlic onion pinto beans up salt water black pepper cumin canned garlic onion pinto beans up salt water Rinse the beans in a colander. Pick out any bad beans. Combine all the ingredients in the crockpot. Remove any floating beans. Cover  and cook on HIGH for 4 hours and on LOW for 2 hours.Uncover  and remove extra liquid. Leave enough liquid to reach the desired consistency when the beans are mashed. (We like our beans somewhere between the very-liquidy restaurant style beans  and the canned version of refried beans.)Mash beans with a potato masher to desired consistency. Serve warm. Store in air-tight containers in the refrigerator and use within 2 weeks  or freeze in ziplock bags for later use. , 23.28, 77.22, 36.16, 100.0, 13.37, 9.79, 0.0
766453, Hummus and Za'atar, seasoning | marinade, 34g, 100g, 31g, cooked dried chickpeas garlic lemon (juice) olive oil paprika pine nuts sea salt tahini za'atar cooked dried chickpeas garlic lemon (juice) olive oil paprika pine nuts sea salt tahini za'atar cooked dried chickpeas garlic lemon (juice) olive oil paprika pine nuts sea salt tahini za'atar Rinse the chickpeas and soak for 8 hours or overnight in several inches of water. Drain and rinse  then transfer to a medium saucepan and cover with fresh water. Bring to a boil  reduce heat to medium-low  cover  and simmer for 1 to 1 1/2 hours or until soft. Drain  reserving the cooking liquid. (If using canned chickpeas  rinse thoroughly.)Meanwhile  toast the pine nuts in a dry unoiled skillet or saucepan over medium-low heat  tossing or stirring frequently  for 10 minutes or until lightly browned. Transfer the chickpeas to a food processor and add the pine nuts  2 tablespoons of olive oil  1/4 cup of the reserved chickpea cooking liquid (or water if using canned chicpeas)  the tahini  garlic  lemon juice and salt. Process until smooth  adding more of the reserved chickpea cooking liquid or water as necessary to reach a light creamy consistency. Taste for seasoning and add more salt or lemon juice as desired. Transfer the hummus to a shallow bowl and drizzle with olive oil. Sprinkle with za'atar and paprika  and serve with chopped fresh vegetables or toasted pita triangles.Refrigerate leftover hummus for a few days or freeze for up to a month. , 55.6, 10.93, 68.0, 48.29, 4.71, 100.0, 0.0
632252, Alouette® Stuffed Mushroom Caps, antipasti | starter | snack | appetizer | antipasto | hor d'oeuvre, 1.89g, 6g, 0.45g, seasoned bread crumbs mushroom caps alouette spinach & artichoke spread seasoned bread crumbs mushroom caps alouette spinach & artichoke spread seasoned bread crumbs mushroom caps alouette spinach & artichoke spread Preheat oven to 375 F. Place mushroom caps hollow side up on baking sheet. Fill each cap with 1 tsp. Alouette Garlic & Herbs Spreadable Cheese and sprinkle with seasoned bread crumbs. Bake 12-15 minutes. Garnish and serve. , 21.19, 100.0, 22.84, 33.68, 80.44, 58.57, 0.0
633942, Balsamic Roasted Vegetables, side dish, 5g, 36g, 2.79g, golden beets red beets bulb fennel red onion fingerling potatoes kabocha squash olive oil balsamic vinegar golden beets red beets bulb fennel red onion fingerling potatoes kabocha squash olive oil balsamic vinegar golden beets red beets bulb fennel red onion fingerling potatoes kabocha squash olive oil balsamic vinegar Clean and top the beets and  along with the fingerling potatoes  drizzle with enough olive oil just to coat. Roast whole at 400 degrees until softened  but not completely cooked (about 30 minutes). Remove from the oven and carefully peel the beets  then cut in half. You can leave the fingerlings whole  and slice lengthwise in half before serving  or halve them and continue roasting (both ways are delicious!) Quarter the fennel and red onion lengthwise  and cut the kabocha into 1/2 inch wedges. Toss all the vegetables in a bowl and drizzle enough olive oil to sufficiently coat. Then  add a big splash of balsamic vinegar (approx. 1/4 cup)  a couple hearty pinches of Kosher salt  a few good turns of fresh ground black pepper  and a small sprig of fresh rosemary. Let roast another 30-40 minutes  turning every so often to get an even roast. , 46.04, 97.59, 9.28, 10.36, 22.72, 100.0, 0.0
639749, Coconut Cream Pie Vegan Milkshake, beverage | drink, 1.92g, 21g, 20g, fresh coconut meat lemon juice coconut oil light coconut milk frozen banana vanilla extract graham cracker crumbs coconut flakes ice cubes fresh coconut meat lemon juice coconut oil light coconut milk frozen banana vanilla extract graham cracker crumbs coconut flakes ice cubes fresh coconut meat lemon juice coconut oil light coconut milk frozen banana vanilla extract graham cracker crumbs coconut flakes ice cubes Combine coconut meat  lemon juice  coconut oil  coconut milk  banana  vanilla  agave nectar (optional) and graham cracker crumbs in a blender; pulse until smooth. Top with soy or dairy based whip cream  sprinkle with additional graham crackers and garnish with toasted coconut flakes. Serves 2-3 , 100.0, 0.97, 39.1, 11.88, 14.11, 47.66, 0.0
640720, Creamy Vegan Butternut Squash Mac and Cheese, side dish | antipasti | starter | snack | appetizer | antipasto | hor d'oeuvre, 11g, 48g, 8g, breadcrumbs pureed butternut squash elbow macaroni nutritional yeast black pepper salt light soy milk vegan buttery spread vegan cheddar shreds water breadcrumbs pureed butternut squash elbow macaroni nutritional yeast black pepper salt light soy milk vegan buttery spread vegan cheddar shreds water breadcrumbs pureed butternut squash elbow macaroni nutritional yeast black pepper salt light soy milk vegan buttery spread vegan cheddar shreds water Begin by Preheating oven to 350Bring a large pot of salted water to a boil over medium heat  add in elbows and cook until pasta is al dente.While waiting for pasta to cook begin preparing your sauce. In a medium size sauce pan  melt butter over medium heat  add in nutritional yeast and mix together to form a paste Add in soy milk  using a whisk combine together ingredients make sure your sauce is lump free  let simmer for 5 minute or until sauce begins to thicken Add is pureed butternut squash  thoroughly mix together ingredients to ensure everything is well blended (you may notice that the butternut squash also helps to thicken the sauce).Stir in Cheese  let sit for 1 to 2 minutes or until sauce has a creamy velvety smooth consistency. Remove Sauce from heat and let sit Drain pasta and add pasta to the cheese sauce  stir together and pour mixture into a greased 9 x 9 baking pan Sprinkle breadcrumbs over macaroni and cheese and let bake for 15 minutes or until cheese begins to bubble Serve Warm and enjoy this creamy Vegan home-style comfort food! , 49.69, 66.11, 46.55, 100.0, 45.07, 51.02, 0.0
716627, Easy Homemade Rice and Beans, side dish | lunch | main course | main dish | dinner, 19g, 86g, 4g, canned black beans diced canned tomatoes chili powder cumin black ground pepper optional: of hot sauce olive oil onion rice water canned black beans diced canned tomatoes chili powder cumin black ground pepper optional: of hot sauce olive oil onion rice water canned black beans diced canned tomatoes chili powder cumin black ground pepper optional: of hot sauce olive oil onion rice water Heat the olive oil in a large pot over medium heat. Add onions and saute until soft  or for about 5 minutes. Add all other remaining ingredients and stir together. Increase the heat to medium high and bring to a boil. Cover and reduce heat to medium low so that the mixture simmers. Cook for 15-20 minutes  or until rice is fluffy and liquid is absorbed.* Serve with salsa  cheese  and sour cream. , 92.93, 44.09, 100.0, 38.96, 28.83, 45.14, 1.6
644094, Funghetti Trifolati, antipasti | starter | snack | appetizer | antipasto | hor d'oeuvre, 3g, 8g, 7g, extra virgin olive oil garlic mixed variety of mushrooms bell pepper salt dry white wine italian fresh parsely extra virgin olive oil garlic mixed variety of mushrooms bell pepper salt dry white wine italian fresh parsely extra virgin olive oil garlic mixed variety of mushrooms bell pepper salt dry white wine italian fresh parsely First  in a large skillet let the oil get hot. Then add the garlic saute until it takes on a golden color  without burning it. When the garlic is ready  add the mushrooms and let them release their juice and reduce for 5 to 10 minutes. At first the mushrooms look big  but they will shrink a lot. Don't worry if it appears to be a lot at first. When the mushroom has released all the liquid and it is reduced a bit  add the white wine and let it reduce for another 5 minutes   until the juice reaches a nice consistency. Add salt and pepper to taste. Before serving  sprinkle the parsley on top. , 40.62, 100.0, 48.5, 46.04, 83.02, 74.28, 2.235
